,titulo,enlace,previa_texto
0,[PDF][PDF] Efecto del manejo forestal en la diversidad y composición arbórea de un bosque templado del noroeste de México,https://www.scielo.org.mx/pdf/rcscfa/v19n2/v19n2a2.pdf,"En la presente investigación se evaluó el efecto de las prácticas silvícolas en la diversidad 
y composición de especies arbóreas de un bosque templado del noroeste de México. Para …"
1,[PDF][PDF] Componentes químicos y su relación con las actividades biológicas de algunos extractos vegetales,https://www.redalyc.org/pdf/863/86314868005.pdf,"Los aceites esenciales y los extractos vegetales son mezclas complejas de metabolitos 
secundarios que cubren un amplio espectro de efectos farmacológicos mostrando diversas …"
